"wsSids","k1","s1","eto"
"11132500","k1","s1","eto"
"11120500","k1","s1","eto"
"11075720","k1","s1","eto"
"11086500","k1","s1","eto"
"11134800","k1","s1","eto"
"11046300","k1","s1","eto"
"11154100","k1","s1","eto"
"11120550","k1","s1","eto"
"11160300","k1","s1","eto"
"11117600","k1","s1","eto"
"11141500","k1","s1","eto"
"11110500","k1","s1","eto"
"11337500","k1","s1","eto"
"11467500","k1","s1","eto"
"11162570","k1","s1","eto"
"11084500","k1","s1","eto"
"11180500","k1","s1","eto"
"11147070","k1","s1","eto"
"11153900","k1","s1","eto"
"11463900","k1","s1","eto"
"11182100","k1","s1","eto"
"11180960","k1","s1","eto"
"11464500","k1","s1","eto"
"11096500","k1","s1","eto"
"11309000","k1","s1","eto"
"11147000","k1","s1","eto"
"11271320","k1","s1","eto"
"11197250","k1","s1","eto"
"11451720","k1","s1","eto"
"11180825","k1","s1","eto"
"11147500","k1","s1","eto"
"11449500","k1","s1","eto"
"11468000","k1","s1","eto"
"11152900","k1","s1","eto"
"11274500","k1","s1","eto"
"11458000","k1","s1","eto"
"11458500","k1","s1","eto"
"11407300","k1","s1","eto"
"11456000","k1","s1","eto"
"11149900","k1","s1","eto"
"11139000","k1","s1","eto"
"11454000","k1","s1","eto"
"11390672","k1","s1","eto"
"11143500","k1","s1","eto"
"11169800","k1","s1","eto"
"11253310","k1","s1","eto"
"11160020","k1","s1","eto"
"11224500","k1","s1","eto"
"11453500","k1","s1","eto"
"11299600","k1","s1","eto"
"11274630","k1","s1","eto"
"11172100","k1","s1","eto"
"11452000","k1","s1","eto"
"11260480","k1","s1","eto"
"11468500","k1","s1","eto"
"11116000","k1","s1","eto"
"11481200","k1","s1","eto"
"11451100","k1","s1","eto"
"11461000","k1","s1","eto"
"11378800","k1","s1","eto"
"11451500","k1","s1","eto"
"11407500","k1","s1","eto"
"11220500","k1","s1","eto"
"11114500","k1","s1","eto"
"10255810","k1","s1","eto"
"11033000","k1","s1","eto"
"11098000","k1","s1","eto"
"11176400","k1","s1","eto"
"11269300","k1","s1","eto"
"11173200","k1","s1","eto"
"11176000","k1","s1","eto"
"11259000","k1","s1","eto"
"11124500","k1","s1","eto"
"10258500","k1","s1","eto"
"10259200","k1","s1","eto"
"11258900","k1","s1","eto"
"11306000","k1","s1","eto"
"11472200","k1","s1","eto"
"11211300","k1","s1","eto"
"11475500","k1","s1","eto"
"11476500","k1","s1","eto"
"11199500","k1","s1","eto"
"11138500","k1","s1","eto"
"11475800","k1","s1","eto"
"10257600","k1","s1","eto"
"11470500","k1","s1","eto"
"11379500","k1","s1","eto"
"11334300","k1","s1","eto"
"11284400","k1","s1","eto"
"10258000","k1","s1","eto"
"11336000","k1","s1","eto"
"11374000","k1","s1","eto"
"11015000","k1","s1","eto"
"11482500","k1","s1","eto"
"11220000","k1","s1","eto"
"11080500","k1","s1","eto"
"11094000","k1","s1","eto"
"11111500","k1","s1","eto"
"11382000","k1","s1","eto"
"11473900","k1","s1","eto"
"11384000","k1","s1","eto"
"11474500","k1","s1","eto"
"11521500","k1","s1","eto"
"10264000","k1","s1","eto"
"11257100","k1","s1","eto"
"11379000","k1","s1","eto"
"11409300","k1","s1","eto"
"11281000","k1","s1","eto"
"11204500","k1","s1","eto"
"11525600","k1","s1","eto"
"11433260","k1","s1","eto"
"11481500","k1","s1","eto"
"10263500","k1","s1","eto"
"11316800","k1","s1","eto"
"11342000","k1","s1","eto"
"11480390","k1","s1","eto"
"11282000","k1","s1","eto"
"11381500","k1","s1","eto"
"11528700","k1","s1","eto"
"11522500","k1","s1","eto"
"11118000","k1","s1","eto"
"11465200","k1","s1","eto"
"11283500","k1","s1","eto"
"11383500","k1","s1","eto"
"11284700","k1","s1","eto"
"11341400","k1","s1","eto"
"11210100","k1","s1","eto"
"11404500","k1","s1","eto"
"11394500","k1","s1","eto"
"11401200","k1","s1","eto"
"11278000","k1","s1","eto"
"11489500","k1","s1","eto"
"10360900","k1","s1","eto"
"11251000","k1","s1","eto"
"10356500","k1","s1","eto"
"11209900","k1","s1","eto"
"10336645","k1","s1","eto"
"11414000","k1","s1","eto"
"11266500","k1","s1","eto"
"11237500","k1","s1","eto"
"10336676","k1","s1","eto"
"10292000","k1","s1","eto"
"11296500","k1","s1","eto"
"10289000","k1","s1","eto"
"11426150","k1","s1","eto"
"10343500","k1","s1","eto"
"11294000","k1","s1","eto"
"10336780","k1","s1","eto"
"10308200","k1","s1","eto"
"10308201","k1","s1","eto"
"10310000","k1","s1","eto"
"11264500","k1","s1","eto"
"11292500","k1","s1","eto"
"11276500","k1","s1","eto"
"10336600","k1","s1","eto"
"10296500","k1","s1","eto"
"11213500","k1","s1","eto"
"10296000","k1","s1","eto"
"10291500","k1","s1","eto"
"11436000","k1","s1","eto"
"10287400","k1","s1","eto"
"10290500","k1","s1","eto"
"11292000","k1","s1","eto"
"11230500","k1","s1","eto"
"11214000","k1","s1","eto"
